class id,filepaths,labels,data set
0,train/ASCOT CAP/001.jpg,ASCOT CAP,train
0,train/ASCOT CAP/002.jpg,ASCOT CAP,train
0,train/ASCOT CAP/003.jpg,ASCOT CAP,train
0,train/ASCOT CAP/004.jpg,ASCOT CAP,train
0,train/ASCOT CAP/005.jpg,ASCOT CAP,train
0,train/ASCOT CAP/006.jpg,ASCOT CAP,train
0,train/ASCOT CAP/007.jpg,ASCOT CAP,train
0,train/ASCOT CAP/008.jpg,ASCOT CAP,train
0,train/ASCOT CAP/009.jpg,ASCOT CAP,train
0,train/ASCOT CAP/010.jpg,ASCOT CAP,train
0,train/ASCOT CAP/011.jpg,ASCOT CAP,train
0,train/ASCOT CAP/012.jpg,ASCOT CAP,train
0,train/ASCOT CAP/013.jpg,ASCOT CAP,train
0,train/ASCOT CAP/014.jpg,ASCOT CAP,train
0,train/ASCOT CAP/015.jpg,ASCOT CAP,train
0,train/ASCOT CAP/016.jpg,ASCOT CAP,train
0,train/ASCOT CAP/017.jpg,ASCOT CAP,train
0,train/ASCOT CAP/018.jpg,ASCOT CAP,train
0,train/ASCOT CAP/019.jpg,ASCOT CAP,train
0,train/ASCOT CAP/020.jpg,ASCOT CAP,train
0,train/ASCOT CAP/021.jpg,ASCOT CAP,train
0,train/ASCOT CAP/022.jpg,ASCOT CAP,train
0,train/ASCOT CAP/023.jpg,ASCOT CAP,train
0,train/ASCOT CAP/024.jpg,ASCOT CAP,train
0,train/ASCOT CAP/025.jpg,ASCOT CAP,train
0,train/ASCOT CAP/026.jpg,ASCOT CAP,train
0,train/ASCOT CAP/027.jpg,ASCOT CAP,train
0,train/ASCOT CAP/028.jpg,ASCOT CAP,train
0,train/ASCOT CAP/029.jpg,ASCOT CAP,train
0,train/ASCOT CAP/030.jpg,ASCOT CAP,train
0,train/ASCOT CAP/031.jpg,ASCOT CAP,train
0,train/ASCOT CAP/032.jpg,ASCOT CAP,train
0,train/ASCOT CAP/033.jpg,ASCOT CAP,train
0,train/ASCOT CAP/034.jpg,ASCOT CAP,train
0,train/ASCOT CAP/035.jpg,ASCOT CAP,train
0,train/ASCOT CAP/036.jpg,ASCOT CAP,train
0,train/ASCOT CAP/037.jpg,ASCOT CAP,train
0,train/ASCOT CAP/038.jpg,ASCOT CAP,train
0,train/ASCOT CAP/039.jpg,ASCOT CAP,train
0,train/ASCOT CAP/040.jpg,ASCOT CAP,train
0,train/ASCOT CAP/041.jpg,ASCOT CAP,train
0,train/ASCOT CAP/042.jpg,ASCOT CAP,train
0,train/ASCOT CAP/043.jpg,ASCOT CAP,train
0,train/ASCOT CAP/044.jpg,ASCOT CAP,train
0,train/ASCOT CAP/045.jpg,ASCOT CAP,train
0,train/ASCOT CAP/046.jpg,ASCOT CAP,train
0,train/ASCOT CAP/047.jpg,ASCOT CAP,train
0,train/ASCOT CAP/048.jpg,ASCOT CAP,train
0,train/ASCOT CAP/049.jpg,ASCOT CAP,train
0,train/ASCOT CAP/050.jpg,ASCOT CAP,train
0,train/ASCOT CAP/051.jpg,ASCOT CAP,train
0,train/ASCOT CAP/052.jpg,ASCOT CAP,train
0,train/ASCOT CAP/053.jpg,ASCOT CAP,train
0,train/ASCOT CAP/054.jpg,ASCOT CAP,train
0,train/ASCOT CAP/055.jpg,ASCOT CAP,train
0,train/ASCOT CAP/056.jpg,ASCOT CAP,train
0,train/ASCOT CAP/057.jpg,ASCOT CAP,train
0,train/ASCOT CAP/058.jpg,ASCOT CAP,train
0,train/ASCOT CAP/059.jpg,ASCOT CAP,train
0,train/ASCOT CAP/060.jpg,ASCOT CAP,train
0,train/ASCOT CAP/061.jpg,ASCOT CAP,train
0,train/ASCOT CAP/062.jpg,ASCOT CAP,train
0,train/ASCOT CAP/063.jpg,ASCOT CAP,train
0,train/ASCOT CAP/064.jpg,ASCOT CAP,train
0,train/ASCOT CAP/065.jpg,ASCOT CAP,train
0,train/ASCOT CAP/066.jpg,ASCOT CAP,train
0,train/ASCOT CAP/067.jpg,ASCOT CAP,train
0,train/ASCOT CAP/068.jpg,ASCOT CAP,train
0,train/ASCOT CAP/069.jpg,ASCOT CAP,train
0,train/ASCOT CAP/070.jpg,ASCOT CAP,train
0,train/ASCOT CAP/071.jpg,ASCOT CAP,train
0,train/ASCOT CAP/072.jpg,ASCOT CAP,train
0,train/ASCOT CAP/073.jpg,ASCOT CAP,train
0,train/ASCOT CAP/074.jpg,ASCOT CAP,train
0,train/ASCOT CAP/075.jpg,ASCOT CAP,train
0,train/ASCOT CAP/076.jpg,ASCOT CAP,train
0,train/ASCOT CAP/077.jpg,ASCOT CAP,train
0,train/ASCOT CAP/078.jpg,ASCOT CAP,train
0,train/ASCOT CAP/079.jpg,ASCOT CAP,train
0,train/ASCOT CAP/080.jpg,ASCOT CAP,train
0,train/ASCOT CAP/081.jpg,ASCOT CAP,train
0,train/ASCOT CAP/082.jpg,ASCOT CAP,train
0,train/ASCOT CAP/083.jpg,ASCOT CAP,train
0,train/ASCOT CAP/084.jpg,ASCOT CAP,train
0,train/ASCOT CAP/085.jpg,ASCOT CAP,train
0,train/ASCOT CAP/086.jpg,ASCOT CAP,train
0,train/ASCOT CAP/087.jpg,ASCOT CAP,train
0,train/ASCOT CAP/088.jpg,ASCOT CAP,train
0,train/ASCOT CAP/089.jpg,ASCOT CAP,train
0,train/ASCOT CAP/090.jpg,ASCOT CAP,train
0,train/ASCOT CAP/091.jpg,ASCOT CAP,train
0,train/ASCOT CAP/092.jpg,ASCOT CAP,train
0,train/ASCOT CAP/093.jpg,ASCOT CAP,train
0,train/ASCOT CAP/094.jpg,ASCOT CAP,train
0,train/ASCOT CAP/095.jpg,ASCOT CAP,train
0,train/ASCOT CAP/096.jpg,ASCOT CAP,train
0,train/ASCOT CAP/097.jpg,ASCOT CAP,train
0,train/ASCOT CAP/098.jpg,ASCOT CAP,train
0,train/ASCOT CAP/099.jpg,ASCOT CAP,train
0,train/ASCOT CAP/100.jpg,ASCOT CAP,train
0,train/ASCOT CAP/101.jpg,ASCOT CAP,train
0,train/ASCOT CAP/102.jpg,ASCOT CAP,train
0,train/ASCOT CAP/103.jpg,ASCOT CAP,train
0,train/ASCOT CAP/104.jpg,ASCOT CAP,train
0,train/ASCOT CAP/105.jpg,ASCOT CAP,train
0,train/ASCOT CAP/106.jpg,ASCOT CAP,train
0,train/ASCOT CAP/107.jpg,ASCOT CAP,train
0,train/ASCOT CAP/108.jpg,ASCOT CAP,train
0,train/ASCOT CAP/109.jpg,ASCOT CAP,train
0,train/ASCOT CAP/110.jpg,ASCOT CAP,train
0,train/ASCOT CAP/111.jpg,ASCOT CAP,train
0,train/ASCOT CAP/112.jpg,ASCOT CAP,train
0,train/ASCOT CAP/113.jpg,ASCOT CAP,train
0,train/ASCOT CAP/114.jpg,ASCOT CAP,train
0,train/ASCOT CAP/115.jpg,ASCOT CAP,train
0,train/ASCOT CAP/116.jpg,ASCOT CAP,train
0,train/ASCOT CAP/117.jpg,ASCOT CAP,train
0,train/ASCOT CAP/118.jpg,ASCOT CAP,train
0,train/ASCOT CAP/119.jpg,ASCOT CAP,train
0,train/ASCOT CAP/120.jpg,ASCOT CAP,train
0,train/ASCOT CAP/121.jpg,ASCOT CAP,train
